Date,Bike,Car,Lorry,speed_00,speed_10,speed_20,speed_30,speed_40,speed_50,speed_60
2020-06-11 16:00:00+00,0,24,0,12,12,,,,,
2020-06-16 10:00:00+00,63,682,0,210,242,158,53,11,11,
2020-06-16 11:00:00+00,56,747,0,131,230,266,92,11,4,4
2020-06-16 12:00:00+00,45,539,0,171,92,168,68,15,13,8
2020-06-16 14:00:00+00,125,820,0,322,365,102,15,8,5,3
2020-06-16 15:00:00+00,128,746,0,277,313,126,17,7,,
2020-06-16 16:00:00+00,79,769,0,249,344,143,18,3,3,2
2020-06-16 17:00:00+00,40,617,0,85,194,270,60,7,3,
2020-06-16 18:00:00+00,40,315,0,41,124,122,23,3,,2
2020-06-16 19:00:00+00,33,236,0,7,33,125,27,14,7,14
2020-06-17 03:00:00+00,21,135,0,11,42,21,42,21,,
2020-06-17 04:00:00+00,24,276,0,52,79,87,39,11,4,2
2020-06-17 05:00:00+00,78,662,0,85,145,283,118,14,4,6
2020-06-17 06:00:00+00,87,658,0,94,169,250,106,14,14,5
2020-06-17 07:00:00+00,106,791,0,139,280,263,72,15,12,5
2020-06-17 08:00:00+00,64,654,0,250,172,157,34,14,13,6
2020-06-17 09:00:00+00,127,834,0,328,261,148,42,21,16,9
2020-06-17 10:00:00+00,124,868,0,227,291,232,67,16,16,9
2020-06-17 11:00:00+00,74,726,0,124,242,259,74,8,10,2
2020-06-17 12:00:00+00,57,760,0,270,180,219,59,9,5,9
2020-06-17 13:00:00+00,83,920,0,325,333,193,44,14,9,5
2020-06-17 14:00:00+00,123,791,0,346,261,154,19,2,2,3
2020-06-17 15:00:00+00,103,707,0,288,278,120,11,3,,
2020-06-17 16:00:00+00,103,725,0,227,284,163,39,5,,8
2020-06-17 17:00:00+00,52,625,0,109,203,248,49,5,3,5
2020-06-17 18:00:00+00,56,404,0,39,142,178,40,6,,
2020-06-17 19:00:00+00,21,254,0,21,67,129,25,4,4,
2020-06-18 06:00:00+00,100,666,0,115,220,241,73,9,2,4
2020-06-18 07:00:00+00,150,676,0,138,240,228,43,10,2,12
2020-06-18 16:00:00+00,110,686,0,230,322,112,16,2,,2
2020-06-18 17:00:00+00,68,628,0,124,202,256,35,3,3,2
2020-06-18 18:00:00+00,44,465,0,36,162,202,47,6,3,6
2020-06-18 19:00:00+00,42,272,0,18,94,104,47,,8,
2020-06-19 03:00:00+00,20,93,0,,11,21,42,11,,
2020-06-19 04:00:00+00,34,304,0,42,91,91,54,16,4,4
2020-06-19 05:00:00+00,85,634,0,62,153,275,117,19,3,5
2020-06-19 06:00:00+00,116,690,0,143,213,212,83,24,7,2
2020-06-19 07:00:00+00,111,702,0,179,194,245,67,9,2,5
2020-06-19 08:00:00+00,79,665,0,252,126,179,43,27,14,7
2020-06-19 09:00:00+00,68,616,0,309,178,81,25,7,6,9
2020-06-19 10:00:00+00,60,750,0,252,306,148,27,6,6,6
2020-06-19 11:00:00+00,50,757,0,158,254,253,59,15,3,10
2020-06-19 12:00:00+00,50,719,0,220,186,250,47,9,4,
2020-06-19 13:00:00+00,84,602,0,323,156,92,18,13,,
2020-06-19 14:00:00+00,153,657,0,291,255,93,12,3,,2
2020-06-19 15:00:00+00,126,749,0,297,301,125,16,2,,4
2020-06-19 16:00:00+00,148,697,0,217,235,191,35,11,2,3
2020-06-19 17:00:00+00,92,639,0,145,240,212,37,3,,2
2020-06-19 18:00:00+00,63,451,0,50,106,228,56,6,,4
2020-06-19 19:00:00+00,20,312,0,31,116,120,31,,,4
2020-06-20 03:00:00+00,15,77,0,,24,16,31,,,
2020-06-20 04:00:00+00,17,137,0,16,47,39,28,10,2,
2020-06-20 05:00:00+00,33,291,0,31,75,114,54,10,4,2
2020-06-20 06:00:00+00,61,477,0,65,112,204,78,13,3,2
2020-06-20 07:00:00+00,100,597,0,98,167,240,76,13,2,
2020-06-20 08:00:00+00,73,651,0,288,117,169,40,17,12,
2020-06-20 09:00:00+00,88,757,0,234,297,161,28,15,2,15
2020-06-20 10:00:00+00,73,739,0,261,268,156,30,15,2,2
2020-06-20 11:00:00+00,46,732,0,94,247,286,94,7,2,2
2020-06-20 12:00:00+00,43,615,0,172,133,224,49,16,,8
2020-06-20 13:00:00+00,63,556,0,260,153,105,21,6,6,2
2020-06-20 14:00:00+00,129,718,0,266,248,174,26,3,,
2020-06-20 15:00:00+00,101,756,0,211,300,211,23,6,2,2
2020-06-20 16:00:00+00,111,735,0,176,314,222,14,3,2,2
2020-06-20 17:00:00+00,58,671,0,115,202,303,44,6,2,2
2020-06-20 18:00:00+00,61,393,0,39,139,176,32,2,,
2020-06-21 05:00:00+00,14,143,0,9,47,44,29,9,4,3
2020-06-21 06:00:00+00,53,291,0,12,96,119,49,11,3,2
2020-06-21 07:00:00+00,65,377,0,44,87,152,65,19,3,4
2020-06-21 15:00:00+00,63,529,0,77,157,221,68,3,,2
2020-06-21 16:00:00+00,74,538,0,51,165,254,59,3,2,3
2020-06-21 17:00:00+00,72,502,0,48,157,241,48,9,,3
2020-06-21 18:00:00+00,77,321,0,25,104,152,35,2,,
2020-06-21 19:00:00+00,36,272,0,26,120,91,22,4,,
2020-06-22 03:00:00+00,24,174,0,,50,25,50,38,,
2020-06-22 04:00:00+00,38,274,0,43,55,89,56,11,8,7
2020-06-22 05:00:00+00,102,651,0,81,152,244,124,25,9,6
2020-06-22 06:00:00+00,130,645,0,88,224,232,71,17,7,2
2020-06-22 07:00:00+00,93,684,0,93,211,277,73,15,13,2
2020-06-22 08:00:00+00,76,558,0,252,128,118,37,8,6,6
2020-06-22 09:00:00+00,47,618,0,232,218,138,18,,6,6
2020-06-22 10:00:00+00,66,679,0,194,203,249,25,7,2,2
2020-06-22 11:00:00+00,42,714,0,114,235,257,67,15,9,14
2020-06-22 12:00:00+00,43,554,0,135,114,222,61,11,7,3
2020-06-22 13:00:00+00,101,668,0,344,186,120,12,,,
2020-06-22 14:00:00+00,107,815,0,299,270,196,42,5,2,2
2020-06-22 15:00:00+00,127,742,0,260,278,174,21,3,2,
2020-06-22 16:00:00+00,116,689,0,161,292,204,23,3,,
2020-06-22 17:00:00+00,87,553,0,101,184,229,32,6,3,
2020-06-22 18:00:00+00,69,328,0,20,97,163,30,7,3,6
2020-06-22 19:00:00+00,33,165,0,14,44,87,10,7,,
2020-06-23 03:00:00+00,23,136,23,,34,57,34,12,,
2020-06-23 04:00:00+00,31,219,52,18,52,80,46,10,6,5
2020-06-23 05:00:00+00,124,615,70,51,139,237,140,23,6,7
2020-06-23 06:00:00+00,127,657,44,91,232,229,73,18,6,3
2020-06-23 07:00:00+00,146,635,43,129,239,189,53,13,2,3
2020-06-23 08:00:00+00,61,401,70,177,100,83,27,6,2,3
2020-06-23 09:00:00+00,81,384,46,204,133,39,4,,2,
2020-06-23 11:00:00+00,59,600,76,77,203,223,72,8,3,6
2020-06-23 12:00:00+00,57,493,45,131,123,172,43,8,8,2
2020-06-23 13:00:00+00,69,447,37,224,124,60,14,10,3,5
2020-06-23 14:00:00+00,111,652,118,210,275,142,22,2,3,
2020-06-23 15:00:00+00,136,562,199,182,243,120,12,5,2,
2020-06-23 16:00:00+00,140,564,156,137,245,145,23,5,6,5
2020-06-18 03:00:00+00,25,125,0,,50,,50,25,,
2020-06-18 04:00:00+00,29,295,0,56,78,87,46,18,2,
2020-06-18 05:00:00+00,95,624,0,78,105,265,133,22,9,5
2020-06-18 08:00:00+00,86,464,0,215,98,109,29,9,,2
2020-06-18 09:00:00+00,103,560,0,285,202,45,13,5,6,3
2020-06-18 10:00:00+00,84,706,0,253,251,164,26,10,3,
2020-06-18 11:00:00+00,71,770,0,122,340,235,49,11,9,3
2020-06-18 12:00:00+00,68,752,0,202,299,177,56,11,6,
2020-06-18 13:00:00+00,62,803,0,226,310,208,42,7,,7
2020-06-18 14:00:00+00,105,742,0,238,328,150,12,5,2,2
2020-06-18 15:00:00+00,132,724,0,225,319,154,24,,3,2
2020-06-20 19:00:00+00,39,231,0,24,93,77,27,4,8,
2020-06-21 03:00:00+00,0,42,0,9,25,9,,,,
2020-06-21 04:00:00+00,10,92,0,7,34,24,17,6,3,
2020-06-21 08:00:00+00,49,528,0,148,112,164,58,11,11,6
2020-06-21 09:00:00+00,91,766,0,159,305,219,29,10,15,10
2020-06-21 10:00:00+00,50,654,0,109,243,242,42,11,4,
2020-06-21 11:00:00+00,31,348,0,15,75,151,77,18,5,4
2020-06-21 12:00:00+00,50,356,0,47,66,171,57,9,4,2
2020-06-21 13:00:00+00,26,347,0,92,107,86,48,9,3,2
2020-06-21 14:00:00+00,31,442,0,114,122,137,52,9,10,2
2020-06-23 10:00:00+00,86,621,84,122,237,210,37,6,5,2
2020-06-23 17:00:00+00,104,574,97,77,218,227,44,8,,2
2020-06-23 18:00:00+00,51,349,38,19,103,170,37,7,4,3
2020-06-23 19:00:00+00,31,208,6,18,72,89,18,11,,
2020-06-24 03:00:00+00,60,300,60,,180,120,,,,
2020-06-24 04:00:00+00,41,225,58,18,56,85,47,6,5,5
2020-06-24 05:00:00+00,111,594,64,62,142,219,129,15,7,6
2020-06-24 06:00:00+00,118,688,68,86,173,287,108,23,7,5
2020-06-24 07:00:00+00,105,642,65,102,232,231,60,2,3,2
2020-06-24 08:00:00+00,68,428,42,175,76,126,33,10,2,2
2020-06-24 09:00:00+00,45,576,88,266,200,88,11,4,3,3
2020-06-24 10:00:00+00,67,622,86,128,277,161,39,6,6,
2020-06-24 14:00:00+00,140,549,117,191,238,97,19,,2,2
2020-06-24 15:00:00+00,138,580,156,216,243,99,12,,2,2
2020-06-24 16:00:00+00,117,564,152,132,244,154,25,5,,3
2020-06-24 17:00:00+00,83,471,103,81,159,176,47,2,,
2020-06-24 18:00:00+00,39,350,39,24,108,176,32,4,3,
2020-06-24 19:00:00+00,34,273,7,7,120,113,28,,,4
2020-06-24 11:00:00+00,38,646,94,65,245,253,57,14,4,7
2020-06-24 12:00:00+00,45,557,42,175,114,198,61,4,,4
2020-06-24 13:00:00+00,74,572,43,217,206,111,28,7,3,
2020-06-25 07:00:00+00,111,563,53,112,172,202,61,9,3,2
2020-06-25 08:00:00+00,61,418,75,167,121,80,29,7,6,6
2020-06-25 09:00:00+00,66,508,71,263,179,57,7,2,,
2020-06-25 17:00:00+00,83.05695746,477.5775054,107.7144917,58.39942322,171.3049748,202.4513338,33.74188897,5.191059841,3.893294881,1.29776496
2020-06-25 18:00:00+00,63.18051576,354.5845272,42.55014327,25.78796562,90.25787966,201.1461318,27.0773639,3.868194842,1.289398281,2.578796562
2020-06-25 19:00:00+00,68.57142857,214.2857143,25.71428571,12.85714286,68.57142857,115.7142857,12.85714286,,4.285714286,
2020-06-25 20:00:00+00,0,0,0,,,,,,,
2020-06-25 21:00:00+00,0,0,0,,,,,,,
2020-06-25 22:00:00+00,0,0,0,,,,,,,
2020-06-25 23:00:00+00,0,0,0,,,,,,,
2020-06-26 00:00:00+00,0,0,0,,,,,,,
2020-06-26 01:00:00+00,0,0,0,,,,,,,
2020-06-26 02:00:00+00,0,0,0,,,,,,,
2020-06-26 03:00:00+00,0,0,0,,,,,,,
2020-06-26 04:00:00+00,45.65460649,234.9869452,61.76799702,24.17008579,51.02573667,80.56695263,61.76799702,6.713912719,1.342782544,1.342782544
2020-06-26 05:00:00+00,94.49507838,540.7218374,66.93401385,40.68538097,128.6183011,227.0506744,110.2442581,11.8118848,7.874589865,5.249726577
2020-06-26 06:00:00+00,127.1224643,689.7069872,55.44703231,116.3035312,209.6168295,256.9496619,66.26596544,17.58076634,13.52366642,2.704733283
2020-06-26 07:00:00+00,164.516129,685.7142857,64.97695853,167.281106,211.5207373,239.1705069,48.38709677,4.147465438,2.764976959,4.147465438
2020-06-26 08:00:00+00,63.76383764,579.1881919,87.67527675,195.2767528,170.0369004,132.8413284,42.50922509,13.28413284,10.62730627,3.985239852
2020-06-26 09:00:00+00,89.92628993,682.5552826,98.77149877,269.7788698,221.1302211,107.6167076,30.95823096,17.69041769,13.26781327,4.422604423
2020-06-26 10:00:00+00,71.334214,729.1941876,66.57859974,171.2021136,277.4108322,217.1730515,26.94848085,14.2668428,3.170409511,7.926023778
2020-06-26 11:00:00+00,69.7466468,677.7943368,57.22801788,112.6676602,270.0447094,221.7585693,51.86289121,1.788375559,3.576751118,5.365126677
2020-07-01 01:00:00+00,0,0,0,,,,,,,
2020-06-26 23:00:00+00,0,0,0,,,,,,,
2020-06-27 00:00:00+00,0,0,0,,,,,,,
2020-06-27 01:00:00+00,0,0,0,,,,,,,
2020-06-27 02:00:00+00,0,0,0,,,,,,,
2020-06-27 03:00:00+00,0,151.8987342,15.18987342,,45.56962025,45.56962025,15.18987342,15.18987342,15.18987342,15.18987342
2020-06-27 04:00:00+00,12.98701299,89.61038961,28.57142857,6.493506494,25.97402597,31.16883117,19.48051948,1.298701299,2.597402597,
2020-06-27 05:00:00+00,44.90377762,270.7056308,35.9230221,10.2637206,92.37348539,93.65645046,60.29935852,12.82965075,1.282965075,
2020-06-27 06:00:00+00,65.83004661,428.5406956,27.10648978,27.10648978,120.0430262,194.9085694,68.41161707,10.32628182,2.581570455,
2020-06-27 07:00:00+00,81.60877514,558.0987203,22.37659963,73.71115174,169.7989031,236.928702,63.1809872,6.581352834,2.632541133,1.316270567
2020-06-27 08:00:00+00,61.54965442,455.7293561,53.69225173,204.29247,99.52710076,103.4558021,26.19134231,7.857402692,9.166969807,2.619134231
2020-06-27 09:00:00+00,84.83063328,540.7952872,68.92488954,265.095729,177.6141384,63.62297496,13.25478645,5.30191458,7.95287187,5.30191458
2020-06-27 10:00:00+00,73.34963325,710.0244499,35.20782396,88.0195599,249.3887531,302.200489,35.20782396,14.66992665,11.73594132,
2020-06-27 11:00:00+00,61.37566138,582.010582,50.79365079,63.49206349,148.1481481,264.5502646,84.65608466,4.232804233,2.116402116,2.116402116
2020-06-27 12:00:00+00,44.55905106,744.5074781,27.84940691,126.2506447,239.5048994,261.784425,83.54822073,16.70964415,5.569881382,1.856627127
2020-06-27 13:00:00+00,88.11188811,701.2987013,68.33166833,190.6093906,237.3626374,237.3626374,30.56943057,3.596403596,1.798201798,
2020-06-27 14:00:00+00,107.027027,729.7297297,52.81853282,254.3629344,298.8416988,134.8262548,27.7992278,2.77992278,1.38996139,4.16988417
2020-06-27 15:00:00+00,82.78835789,683.0039526,84.08192598,117.7146964,301.4013654,217.3194395,21.99065756,9.054976644,5.174272368,3.880704276
2020-07-01 02:00:00+00,0,0,0,,,,,,,
2020-07-01 03:00:00+00,0,0,0,,,,,,,
2020-06-28 05:00:00+00,29.47668209,151.2281951,6.407974368,8.971164115,34.60306159,56.39017444,34.60306159,8.971164115,,3.844784621
2020-06-28 06:00:00+00,46.93446089,251.1627907,2.536997886,6.342494715,88.794926,90.06342495,55.81395349,5.073995772,3.805496829,
2020-06-28 07:00:00+00,64.1221374,393.8931298,11.77753544,32.71537623,87.67720829,188.4405671,74.5910578,5.234460196,3.925845147,1.308615049
2020-06-28 08:00:00+00,39.95703545,348.0128894,12.88936627,108.2706767,42.5349087,122.4489796,50.26852846,11.60042965,3.866809882,3.866809882
2020-06-28 09:00:00+00,42.1875,426.5625,37.5,103.125,150,121.875,28.125,4.6875,14.0625,
2020-06-30 10:00:00+00,82.15488215,705.7239057,71.38047138,162.962963,242.4242424,212.7946128,48.48484848,10.77441077,9.427609428,6.734006734
2020-06-30 11:00:00+00,101.9643673,782.8232069,62.49428963,134.8560987,236.820466,274.6459571,82.22932846,19.73503883,14.80127912,4.933759708
2020-06-30 12:00:00+00,59.30807249,695.8813839,41.51565074,235.2553542,181.878089,175.9472817,51.40032949,27.67710049,3.953871499,7.907742998
2020-06-30 13:00:00+00,107.4141049,729.1139241,29.29475588,227.8481013,279.9276673,182.278481,22.78481013,3.254972875,6.50994575,
2020-06-30 14:00:00+00,144.0543601,650.9626274,108.7202718,237.8255946,273.1596829,107.3612684,19.02604757,5.43601359,2.718006795,1.359003398
2020-06-30 15:00:00+00,135.9283768,587.1545348,124.717789,191.9813157,232.6196964,121.9151421,30.82911639,1.401323472,5.605293889,
2020-06-30 16:00:00+00,106.351551,647.4150665,132.9394387,139.5864106,297.7843427,166.1742984,33.23485968,6.646971935,,
2020-06-30 17:00:00+00,100.2599332,628.2955811,74.86075009,84.21834385,243.2974378,244.6342369,42.77757148,5.347196435,1.336799109,1.336799109
2020-06-30 18:00:00+00,67.1931084,366.9777459,28.42785355,29.72002872,117.5879397,174.4436468,33.5965542,5.168700646,1.292175162,1.292175162
2020-06-30 20:00:00+00,0,0,0,,,,,,,
2020-06-30 21:00:00+00,0,0,0,,,,,,,
2020-06-30 22:00:00+00,0,0,0,,,,,,,
2020-06-30 23:00:00+00,0,0,0,,,,,,,
2020-07-01 00:00:00+00,0,0,0,,,,,,,
2020-06-25 03:00:00+00,11,160,11,,57,35,69,,,
2020-06-25 04:00:00+00,27,227,56,15,61,92,49,6,3,3
2020-06-25 05:00:00+00,118,602,68,75,158,217,117,22,5,5
2020-06-25 06:00:00+00,89,646,70,83,207,243,87,16,6,2
2020-06-25 10:00:00+00,81.06312292,596.6777409,55.81395349,160.7973422,213.9534884,168.7707641,34.55149502,3.986710963,3.986710963,5.315614618
2020-06-25 11:00:00+00,52.83617612,682.5862753,89.96429988,102.8163427,227.0527568,269.8928996,51.40817136,11.42403808,7.1400238,4.28401428
2020-06-25 12:00:00+00,31.03448276,577.2413793,27.93103448,148.9655172,93.10344828,248.2758621,55.86206897,21.72413793,,
2020-06-25 13:00:00+00,89.34306569,632.4087591,36.78832117,208.4671533,192.7007299,173.4306569,47.29927007,8.759124088,1.751824818,
2020-06-25 14:00:00+00,104.9482163,596.547756,96.66283084,200.2301496,259.6087457,115.995397,13.80897583,2.761795167,1.380897583,1.380897583
2020-06-25 15:00:00+00,116.6731745,551.034752,201.0152284,203.8266302,224.9121437,99.80476376,15.46270988,1.405700898,1.405700898,1.405700898
2020-07-01 06:00:00+00,76.68161435,626.9058296,92.82511211,72.64573991,192.3766816,256.9506726,79.37219731,10.76233184,1.34529148,2.69058296
2020-07-01 07:00:00+00,100.7183365,707.7504726,66.69187146,151.0775047,230.0189036,246.3516068,55.80340265,10.88846881,,4.083175803
2020-07-01 16:00:00+00,109.8882201,617.5408426,52.62252794,204.2992261,258.4694755,120.72227,27.85898538,3.09544282,1.54772141,1.54772141
2020-07-01 17:00:00+00,90.13867488,590.7550077,67.95069337,77.65793529,244.0677966,217.7195686,34.66872111,2.773497689,5.546995378,
2020-07-01 18:00:00+00,53.73134328,385.293047,38.00509647,15.72624681,116.6363305,188.7149618,52.42082272,3.931561704,1.310520568,1.310520568
2020-07-01 19:00:00+00,16.88159437,219.4607268,37.98358734,4.220398593,101.2895662,92.84876905,12.66119578,4.220398593,,
2020-07-01 20:00:00+00,0,0,0,,,,,,,
2020-07-01 21:00:00+00,0,0,0,,,,,,,
2020-07-01 22:00:00+00,0,0,0,,,,,,,
2020-07-01 23:00:00+00,0,0,0,,,,,,,
2020-06-25 16:00:00+00,138.4615385,570.6685838,142.3436377,122.9331416,263.9827462,161.7541337,11.64629763,1.29403307,2.588066139,3.882099209
2020-06-26 12:00:00+00,59.60264901,576.1589404,45.69536424,232.4503311,133.1125828,150.9933775,33.77483444,15.89403974,1.986754967,
2020-06-26 13:00:00+00,79.69348659,669.7318008,38.31417625,280.4597701,251.3409962,98.08429119,24.5210728,7.662835249,3.0651341,
2020-06-26 14:00:00+00,133.7185307,674.5356995,69.83078828,301.6095749,261.4940157,95.08873298,8.914568716,2.971522905,,1.485761453
2020-06-26 15:00:00+00,130.1886792,621.2264151,159.9056604,198.1132075,267.4528302,134.4339623,14.1509434,2.830188679,,2.830188679
2020-06-26 16:00:00+00,98.28904259,553.0396797,144.1572625,110.0837277,264.7251547,152.0203859,17.03676738,3.931561704,,2.621041136
2020-06-26 17:00:00+00,73.65398421,531.0839914,91.74443647,94.32878679,231.2993539,173.1514716,27.13567839,1.292175162,1.292175162,
2020-06-26 18:00:00+00,72.46585191,414.0905823,28.46872753,36.23292595,151.4018692,188.9288282,23.29259526,1.29403307,6.470165349,2.588066139
2020-06-26 19:00:00+00,58.18965517,329.7413793,19.39655172,7.75862069,124.137931,170.6896552,15.51724138,3.879310345,,
2020-06-26 20:00:00+00,0,0,0,,,,,,,
2020-06-26 21:00:00+00,0,0,0,,,,,,,
2020-06-26 22:00:00+00,0,0,0,,,,,,,
2020-06-27 16:00:00+00,67.64922623,657.9218865,71.62859248,161.8275608,303.7582903,156.5217391,26.52910833,3.979366249,,2.652910833
2020-06-27 17:00:00+00,77.1521976,615.9099165,45.76825282,69.30621141,261.5328732,230.1489284,39.22993098,3.922993098,1.307664366,5.230657465
2020-06-27 18:00:00+00,54.82233503,412.4728064,28.7164612,32.63234228,178.8252357,165.7722988,26.10587382,6.526468455,,
2020-06-27 19:00:00+00,36.03603604,252.2522523,18.01801802,7.207207207,111.7117117,111.7117117,14.41441441,3.603603604,,
2020-06-27 20:00:00+00,0,0,0,,,,,,,
2020-06-27 21:00:00+00,0,0,0,,,,,,,
2020-06-27 22:00:00+00,0,0,0,,,,,,,
2020-06-27 23:00:00+00,0,0,0,,,,,,,
2020-06-28 00:00:00+00,0,0,0,,,,,,,
2020-06-28 01:00:00+00,0,0,0,,,,,,,
2020-06-28 02:00:00+00,0,0,0,,,,,,,
2020-06-28 03:00:00+00,0,88.23529412,0,,35.29411765,,35.29411765,,,17.64705882
2020-06-28 04:00:00+00,12.60063003,70.56352818,6.300315016,3.780189009,34.02170109,20.16100805,7.560378019,1.260063003,2.520126006,
2020-06-28 10:00:00+00,61.12054329,525.6366723,55.00848896,88.62478778,143.6332767,241.426146,42.78438031,3.056027165,,
2020-06-30 06:00:00+00,75,700,0,125,50,250,50,125,50,25
2020-06-30 07:00:00+00,129.9333072,706.1592781,60.72969792,152.5304041,225.970969,218.9093762,62.14201648,14.12318556,21.18477834,1.412318556
2020-06-30 08:00:00+00,81.60535117,584.6153846,120.4013378,200.6688963,193.9799331,132.4414716,30.76923077,8.026755853,10.70234114,2.675585284
2020-06-30 09:00:00+00,75.77548006,664.6971935,106.351551,224.6676514,237.9615953,140.915805,29.24667651,14.62333826,2.658788774,5.317577548
2020-06-30 19:00:00+00,85.71428571,212.244898,12.24489796,28.57142857,65.30612245,81.63265306,28.57142857,4.081632653,,
2020-07-01 04:00:00+00,38.01652893,246.2809917,66.11570248,28.09917355,44.62809917,114.0495868,42.97520661,9.917355372,3.305785124,
2020-07-01 05:00:00+00,80.31666067,541.4897445,98.45268082,79.02123066,137.3155811,217.6322418,77.72580065,12.95430011,5.181720043,2.590860022
2020-07-01 08:00:00+00,59.14861837,594.1747573,104.8543689,180.1344287,201.6430172,166.6915609,29.57430919,5.377147125,1.344286781,1.344286781
2020-07-01 09:00:00+00,97.44360902,749.7744361,92.03007519,212.481203,300.4511278,156.9924812,46.01503759,16.2406015,6.766917293,4.060150376
2020-07-01 10:00:00+00,85.31468531,727.2727273,90.90909091,137.0629371,278.3216783,232.1678322,50.34965035,12.58741259,1.398601399,2.797202797
2020-07-01 11:00:00+00,71.84035477,694.4567627,73.4368071,90.99778271,242.6607539,277.7827051,60.66518847,7.982261641,3.192904656,3.192904656
2020-07-01 12:00:00+00,157.0425139,701.3678373,94.49168207,165.0277264,276.8207024,200.961183,42.58780037,3.992606285,2.661737523,3.992606285
2020-07-01 13:00:00+00,95.15418502,609.2511013,103.0837004,214.0969163,274.8898678,88.54625551,22.46696035,2.643171806,2.643171806,1.321585903
2020-07-01 14:00:00+00,83.43925234,697.1214953,98.24299065,177.6448598,314.9158879,166.8785047,21.53271028,1.345794393,9.420560748,
2020-07-01 15:00:00+00,125.2173913,702.3062382,73.49716446,264.0453686,299.4328922,95.27410208,28.58223062,8.166351607,2.722117202,
2020-07-02 00:00:00+00,0,0,0,,,,,,,
2020-07-02 02:00:00+00,0,0,0,,,,,,,
2020-07-02 03:00:00+00,0,0,0,,,,,,,
2020-07-02 12:00:00+00,96.85486927,657.5217886,95.49071618,139.143615,240.0909435,205.9871163,46.381205,13.64153088,6.820765441,1.364153088
2020-07-02 13:00:00+00,102.1953066,692.2028766,87.20666162,170.325511,280.6964421,179.8637396,39.51551855,9.538228615,4.087812263,2.725208176
2020-07-02 14:00:00+00,102.0186335,673.6024845,72.67080745,265.5279503,278.1055901,93.63354037,20.96273292,9.782608696,,2.795031056
2020-07-02 15:00:00+00,105.83971,666.9351591,72.49295207,268.2239227,263.8743455,100.0402739,15.94844946,4.349577124,5.799436166,1.449859041
2020-07-02 16:00:00+00,142.3349496,600.2237971,95.33756061,126.2215591,230.9585975,189.3323387,29.54121596,5.371130175,5.371130175,1.342782544
2020-07-02 17:00:00+00,67.59294029,569.1325573,78.40781074,64.88922268,252.7975967,224.4085618,21.62974089,1.351858806,1.351858806,1.351858806
2020-07-02 18:00:00+00,50.77757685,404.9186257,31.2477396,33.8517179,101.5551537,191.3924051,50.77757685,9.113924051,6.50994575,3.90596745
2020-07-02 19:00:00+00,46.04651163,238.6046512,16.74418605,16.74418605,79.53488372,87.90697674,25.11627907,8.372093023,4.186046512,4.186046512
2020-07-02 20:00:00+00,0,0,0,,,,,,,
2020-07-02 21:00:00+00,0,0,0,,,,,,,
2020-07-02 22:00:00+00,0,0,0,,,,,,,
2020-07-02 23:00:00+00,0,0,0,,,,,,,
2020-07-03 00:00:00+00,0,0,0,,,,,,,
2020-07-03 01:00:00+00,0,0,0,,,,,,,
2020-07-03 02:00:00+00,0,0,0,,,,,,,
2020-07-03 03:00:00+00,0,49.31506849,0,,,,49.31506849,,,
2020-07-03 04:00:00+00,42.20398593,218.0539273,70.33997655,22.5087925,61.89917937,64.71277843,54.86518171,5.627198124,1.406799531,2.813599062
2020-07-03 05:00:00+00,91.24114797,656.1311964,79.16511368,87.21580321,158.3302274,228.1028699,139.5452851,10.7342527,10.7342527,4.025344763
